unique_id,story,selected_sentence,worker_ids,1_specificNL,1_generalNL,2_specificNL,2_generalNL,3_specificNL,3_generalNL,4_specificNL,4_generalNL,5_specificNL,5_generalNL,6_specificNL,6_generalNL,7_specificNL,7_generalNL,8_specificNL,8_generalNL,9_specificNL,9_generalNL,10_specificNL,10_generalNL
052e78da-9393-4f33-9908-5ad3d6c27ed4__3,Karen made a pan of lasagna.****She brought it to the party.****Nobody wanted to eat lasagna.****Karen ate it for a week.****She became tired of lasagna.,Karen ate it for a week.,A1UYU9PV266WTT****A2CMYWI1J292YJ****A2MHM7JK1T9XHR,escaped,escaped,escaped,escaped,escaped,escaped,Karen possess(es) lasagna >Enables> Karen eats lasagna****karen possess(es) lasagna >Enables> karen eats lasana****Karen possess(es) lasagna >Enables> Shea ate it  for  a week,Someone_A possess(es) Something_A (that is food) >Enables> Someone_A eats Something_A (that is food)****Someone_A possess(es) Something_A >Enables> Someone_A eats Something_A (that is food)****Someone_A possess(es) Something_A (that is food) >Enables> Someone_A eats Something_A,escaped,escaped,Karen eats lasagna for  a week >Causes/Enables> Karen is tired of  lasagna****karen keeps  eating lasagna >Causes/Enables> karen is tired of lasagna****Karen ate lasagna for  a week >Causes/Enables> She became tired of  lasagna,Someone_A eats Something_A (that is food) for  a week >Causes/Enables> Someone_A is tired of  Something_A****Someone_A keeps eating Something_A (that is food) >Causes/Enables> Someone_A becomes tired of Something_A****Someone_A eats Something_A (that is food) for  a while >Causes/Enables> Someone_A gets tired of Something_A,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped
05b399f9-6a64-4076-a689-bf79bc0b8e5c__3,Lauren made fun of her brother.****Her brother pushed her down.****Lauren told her mom.****Her mom grounded her brother.****Her brother felt angry at being grounded.,Her mom grounded her brother.,ATR6RB1RULOC0****A2CMYWI1J292YJ****A2MHM7JK1T9XHR,Lauren's brother  pushes Lauren >Causes/Enables> Mom grounds her brother****lauren  snithces on her brother >Causes/Enables> her mom grounds her brother****Lauren told her mother that her brother pushed her >Causes/Enables> Her mom grounded her brother,Someone_A (who is Someone_B's sibling ) does  Something_A (that is mean ) to  Someone_B >Causes/Enables> Someone_C (who is Someone_A and Someone_B's parent) punishes Someone_A****Someone_A snitches  on Someone_B (who is someone_A's sibling) >Causes/Enables> Someone_B is grounded by Someone_C (who is mother of Someone_A)****Someone_A (who is a child) tells on  Someone_B (who is a child) to  Someone_C (who is an adult) >Causes/Enables> Someone_C punishes Someone_B,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,Mom grounds her brother  >Causes> Her brother  feel(s) angered****her mom grounds her brother >Causes> her brother feel(s) angry****Lauren's mom grounded her brother >Causes> Her brother feel(s) angry,Someone_A punishes Someone_B (who was misbehaving ) >Causes> Someone_B feel(s) angered****Someone_A punishes Someone_B >Causes> Someone_B feel(s) angry****Someone_A (who is an adult) punishes Someone_B (who is a child) >Causes> Someone_B feel(s) angry,escaped,escaped,escaped,escaped,escaped,escaped
05f5a08c-d10c-4754-9de2-81db9db816cc__3,"Yesterday during my lunch break I went to get tacos.****I drove for 20 minutes to get some tacos.****They took too long to make the tacos, so I had to take them to work.****It took so long that I was late getting back to work.****My boss was mad at me for being so late.",It took so long that I was late getting back to work.,A1QAQ72HQ921UG****ALKQPW0O9C98N****AGTKQI9PCODC5,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,I was late to work >Causes/Enables> My boss was mad at me****I am late for work >Causes/Enables> My boss is angry at me****I  was  late  at  work >Causes/Enables> My boss was  mad  at  me,Someone_A (who works at Somewhere_A) is late to Somewhere_A >Causes/Enables> Someone_B (who is the boss of Someone_A) is mad at Someone_A****Someone_A is irresponsible at work >Causes/Enables> Someone_B (who is the boss of Someone_A) is angry at Someone_A****Someone_A is  late  at  work >Causes/Enables> Someone_B (who is the boss of Someone_A) is  mad  at  Someone_A,I was late to work >Causes> My boss feel(s) angered****I am late for work >Causes> My boss feel(s) angered****I  was  late  at work  >Causes> My boss feel(s) irked,Someone_A (who works Somewhere_A) is late to Somewhere_A >Causes> Someone_B (who is the boss of Someone_A) feel(s) angered****Someone_A ignores a commitment to Someone_B (who is their boss) >Causes> Someone_B feel(s) angered****Someone_A was  late  at  work >Causes> Someone_B (who is the boss of Someone_A) feel(s) irked,escaped,escaped,escaped,escaped,escaped,escaped
06c56d6b-e2e0-491a-8dfd-ba6db3bf5d6c__1,Aaron was watching TV.****He was having trouble changing the channel.****Aaron decided to change the batteries to the remote.****He didn't have any extra batteries around the house.****Aaron used the buttons on the television set until he went to the store.,He was having trouble changing the channel.,A2EED3HLTA96CP****A3PPLDHC3CG0YN****A3L0I55SEJU1HJ,Aaron was watching TV >Causes/Enables> Aaron was having trouble  changing the channel.   ****Aaron  was watching television >Causes/Enables> Aaron  couldn't change the channel****Aaron was watching television. >Causes/Enables> Aaron was having trouble changing channels.,Someone_A was watching Something_A (that is a television) >Causes/Enables> Someone_A was having trouble changing the channels****Someone_A was watching Something_A (that is television) >Causes/Enables> Someone_A couldn't change the channel****Someone_A was watching television. >Causes/Enables> Someone_A was having trouble changing channels.,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,Aaron was having trouble changing the channels on the TV >Causes> Aaron feel(s) angered****Aaron couldn't change the channel >Causes> Aaron feel(s) frustrated****Aaron was having trouble changing TV channels. >Causes> Aaron feel(s) frustrated.,Someone_A could not change Something_A (that is the channel) on Something_B (that is the TV) >Causes> Someone_A feel(s) angered****Someone_A couldn't change Something_A (that is the channel) >Causes> Someone_A feel(s) frustrated****Someone_A was having trouble changing TV channels. >Causes> Someone_A feel(s) frustrated.,escaped,escaped,escaped,escaped,escaped,escaped
07033dad-281b-49ab-8a4d-733a06452528__2,Sam swore he didn't like any vegetables.****He thought there was no such thing as a tasty vegetable.****His mom convinced him to try some baby carrots.****Sam tasted them and was surprised that he liked them.****He changed his mind about all vegetables being bad.,His mom convinced him to try some baby carrots.,A1UYU9PV266WTT****A2CMYWI1J292YJ****A1NPSBHME4MVX4,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,Sam's mom convinces him to try some baby carrots >Causes/Enables> Sam likes the baby carrots****he is convinced to eat baby carrots >Causes/Enables> he finds baby carrots are tasty****Sam's mother convinces Sam to try baby carrots >Causes/Enables> Sam likes the baby carrots,Someone_A convinces Someone B to try Something_A >Causes/Enables> Someone_B likes Something_A****Someone_A is convinced  to eat Something_A (that is food) >Causes/Enables> Someone_A finds Something_A tasty****Someone_A convinces Someone_B to try Something_A (that is food) >Causes/Enables> Someone_B likes Something_A,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped
07033dad-281b-49ab-8a4d-733a06452528__3,Sam swore he didn't like any vegetables.****He thought there was no such thing as a tasty vegetable.****His mom convinced him to try some baby carrots.****Sam tasted them and was surprised that he liked them.****He changed his mind about all vegetables being bad.,Sam tasted them and was surprised that he liked them.,A33DSCVAUOWIQY****A2RQMEPIHW5BOS****AGTKQI9PCODC5,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,Sam tastes baby carrots and likes them >Causes> Sam feel(s) surprised****Sam likes the carrots >Causes> Sam feel(s) surprised****Sam  liked the baby carrots >Causes> Sam feel(s) surprised,Someone_A tastes Something_A (that looks bad)  >Causes> Someone_A feel(s) surprised****Someone_A likes Something_A (that looks unappetizing)  >Causes> Someone_A feel(s) surprised****Someone_A like Something_A (that is edible but looks disgusting) >Causes> Someone_A feel(s) surprised,escaped,escaped,escaped,escaped,escaped,escaped
07d43f12-43ed-45e8-82d3-58f6bee818da__0,Gunther lived at home with his mom.****His mom told him to come home by eight at night.****Gunther came home late one night.****His mom kicked him out of the house.****He lived on the streets.,Gunther lived at home with his mom.,A1NPSBHME4MVX4****A33DSCVAUOWIQY****ATR6RB1RULOC0,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,Gunther lives at home with his mom >Causes> Gunther  feel(s) worthless****Gunther lives with his mom >Causes> Gunther feel(s) frustrated****Gunther  lives with his mom >Causes> His mom feel(s) angered,Someone_A lives at home with Someone_B (who is the mother of Someone_A) >Causes> Someone_A feel(s) dependent****Someone_A lives with Someone_B (who has strict rules) >Causes> Someone_A feel(s) frustrated****Someone_A (who doesn't follow the rules of Someone_B) lives with  Someone_B >Causes> Someone_B feel(s) angered,escaped,escaped,escaped,escaped,escaped,escaped
07d43f12-43ed-45e8-82d3-58f6bee818da__2,Gunther lived at home with his mom.****His mom told him to come home by eight at night.****Gunther came home late one night.****His mom kicked him out of the house.****He lived on the streets.,Gunther came home late one night.,A1UYU9PV266WTT****AGTKQI9PCODC5****A1NPSBHME4MVX4,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,Gunther comes home late >Causes/Enables> His mom kicks him out of  the house****Gunther come  home  late >Causes/Enables> Gunther's mom kicked  Gunther out  of the house****Gunther comes home late >Causes/Enables> Gunther's mother kicks Gunther out of the house,Someone_A comes to  Somewhere_A late >Causes/Enables> Someone_B (who asked Someone_A to be on time) kicks Someone_A out of  Somewhere_A****Someone_A is  late >Causes/Enables> Someone_B (who was waiting for Someone_A) kicks  Someone_A out****Someone_A comes Somewhere_A (that is the home of Someone_A and Someone_B) late >Causes/Enables> Someone_B kicks Someone_A out of Somewhere_A,Gunther comes home late >Causes> Gunther's mom feel(s) angered****Gunther came home  late >Causes> Gunther's mom  feel(s) angry****Gunther comes home late >Causes> Gunther's mother feel(s) angered,Someone_A comes to  Somewhere_A late >Causes> Someone_B (that asked Someone_A to be on time) feel(s) angered****Someone_A arrives  late  at  a rendezvous with Someone_B >Causes> Someone_B feel(s) angry****Someone_A (who has an early curfew) comes Somewhere_A (that is the home Someone_A shares with Someone_B) late >Causes> Someone_B feel(s) angered,Gunther comes  home late >Results in> Gunther is at home****Gunther came  home >Results in> Gunther is at home****Gunther comes home late >Results in> Gunther is at home,Someone_A comes to  Somewhere_A late >Results in> Someone_A is at Somewhere_A****Someone_A comes Somewhere_A >Results in> Someone_A is at Somewhere_A****Someone_A (who has an early curfew) comes Somewhere_A late >Results in> Someone_A is at Somewhere_A,escaped,escaped,escaped,escaped
07d43f12-43ed-45e8-82d3-58f6bee818da__4,Gunther lived at home with his mom.****His mom told him to come home by eight at night.****Gunther came home late one night.****His mom kicked him out of the house.****He lived on the streets.,He lived on the streets.,A1UOGYZFJF4BKW****A1UYU9PV266WTT****A1NPSBHME4MVX4,Gunther disobeys his mom's rules >Causes/Enables> Gunther lives on the streets****Gunther's mom kicks Gunther out of  the house >Causes/Enables> Gunther  lives on  the streets****Gunther's mother kicks Gunther out of the house >Causes/Enables> Gunther lives on the street,Someone_A is kicked out of Somewhere_A >Causes/Enables> Someone_A lives on the streets****Someone_A kicks Someone_B out of  Somewhere_A >Causes/Enables> Someone_B lives Somewhere_B****Someone_A kicks Someone_B out of Somewhere_A (that is the family home) >Causes/Enables> Someone_B lives on Somewhere_B (that are the streets),escaped,escaped,escaped,escaped,escaped,escaped,Gunther is homeless >Enables> Gunther lives on the street****Gunther has no home >Enables> Gunther lives on  the streets****Gunther is homeless >Enables> Gunther lives on the streets,Someone_A is homeless >Enables> Someone_A lives on the street****Someone_A has no home >Enables> Someone_A lives Somewhere_A (that is not a home)****Someone_A (who was kicked out of his family home) is homeless >Enables> Someone_A lives on Somewhere_A (that are the streets),escaped,escaped,Gunther lives on the street >Causes> Gunther feel(s) stressed****Gunther lives on  the streets >Causes> Gunther feel(s) sad****Gunther lives on the streets >Causes> Gunther feel(s) bitter,Someone_A lives on the street >Causes> Someone_A feel(s) stressed****Someone_A lives Somewhere_A (that is not pleasant) >Causes> Someone_A feel(s) sad****Someone_A (who was kicked out of his faily home) lives on the streets >Causes> Someone_A feel(s) bitter,escaped,escaped,escaped,escaped,escaped,escaped
08e871f1-6de3-42c2-b3a0-8e68c2b422cd__1,Chris built a snowman.****His sister knocked the snowman's head off.****Chris put a ball in the place of its head.****His sister took the ball.****Chris gave up on the snowman.,His sister knocked the snowman's head off.,A1UYU9PV266WTT****A1UOGYZFJF4BKW****AGTKQI9PCODC5,escaped,escaped,escaped,escaped,Chris's sister is near the snowman >Enables> Chris's sister knocks the snowman's head off****Chris' sister is near Chris' snowman >Enables> Chris' sister knocks his snowman's head off****Chris' sister is next to Chris' snowman >Enables> Chris' sister knocked Chris' snowman's head  off,Someone_A is near Something_A >Enables> Someone_A knocks Something_B (that is a part of Something_A) off of Something_A****Someone_A is at Somewhere_A (where Something_A is at) >Enables> Someone_A knocks off part of Something_A****Someone_A is next to Something_A >Enables> Someone_A knocks  Something_A off,escaped,escaped,escaped,escaped,escaped,escaped,Chris's sister knocks the snowman's head off >Causes> Chris feel(s) frustrated****Chris' sister knocks his snowman's head off >Causes> Chris feel(s) mad****Chris'  sister  knocked  Chris' snowman's head  off  >Causes> Chris  feel(s) annoyed,Someone_A knocks Something_A (that is a part of Something B) off of  Something_B (that Someone_B built) >Causes> Someone_B feel(s) frustrated****Someone_A knocks Something_A (that belongs to Someone_B) apart >Causes> Someone_B feel(s) mad****Someone_A knocks apart Something_A (that belongs to Someone_B) >Causes> Someone_B feel(s) annoyed,escaped,escaped,escaped,escaped,escaped,escaped
